Rk,Player,Pos,Country_Code,Squad,Age,Born,90s,Gls,Sh,SoT,shots_conv_rate,shots_on_target_conv_rate
533,Emma Snerle,FW,DK,Denmark,22,2001,0.1,0,1,0,0.0,0.0
534,Katja Snoeijs,FW,NL,Netherlands,26,1996,2.2,1,2,2,0.5,0.5
535,Cho So-hyun,MF,KR,Korea Republic,34,1988,2.7,1,3,1,0.333,1.0
536,Ji So-yun,MF,KR,Korea Republic,32,1991,3,0,4,1,0.0,0.0
537,Havana Solaun,FW,JM,Jamaica,30,1993,0.2,0,0,0,0.0,0.0
538,Daniela Solera,GK,CR,Costa Rica,25,1997,3,0,0,0,0.0,0.0
539,Emily Sonnett,MF,US,USA,29,1993,1.4,0,1,0,0.0,0.0
540,Coumba Sow,MF,CH,Switzerland,28,1994,3.5,0,4,2,0.0,0.0
541,Drew Spence,MF,JM,Jamaica,30,1992,4,0,7,1,0.0,0.0
542,Rebecca Spencer,GK,JM,Jamaica,32,1991,4,0,0,0,0.0,0.0
543,Sherida Spitse,DF,NL,Netherlands,33,1990,4.7,0,1,0,0.0,0.0
544,Eliana Stábile,DF,AR,Argentina,29,1993,3,0,1,0,0.0,0.0
545,Georgia Stanway,MF,EN,England,24,1999,6.8,1,8,2,0.125,0.5
546,Malia Steinmetz,MF,NZ,New Zealand,24,1999,3,0,5,1,0.0,0.0
547,Julia Stierli,DF,CH,Switzerland,26,1997,4,0,0,0,0.0,0.0
548,Rebekah Stott,DF,NZ,New Zealand,29,1993,2.4,0,1,0,0.0,0.0
549,Ngân Thị Vạn Sự,MF,VN,Vietnam,22,2001,0.8,0,0,0,0.0,0.0
550,Hina Sugita,DF|MF,JP,Japan,26,1997,1.6,0,0,0,0.0,0.0
551,Andi Sullivan,MF,US,USA,27,1995,4.3,0,4,0,0.0,0.0
552,Chelsea Surpris,DF,HT,Haiti,26,1996,1.1,0,0,0,0.0,0.0
553,Allyson Swaby,DF,JM,Jamaica,26,1996,4,1,1,1,1.0,1.0
554,Chantelle Swaby,DF,JM,Jamaica,24,1998,4,0,1,1,0.0,0.0
555,Kaylin Swart,GK,ZA,South Africa,28,1994,4,0,0,0,0.0,0.0
556,Ingrid Syrstad Engen,MF,NO,Norway,25,1998,2.3,0,3,1,0.0,0.0
557,Karina Sævik,FW|MF,NO,Norway,27,1996,0.8,0,2,1,0.0,0.0
558,Anja Sønstevold,DF,NO,Norway,30,1992,0.5,0,0,0,0.0,0.0
559,Nicoline Sørensen,FW|MF,DK,Denmark,25,1997,1.6,0,0,0,0.0,0.0
560,Fatima Tagnaout,MF,MA,Morocco,24,1999,3.6,0,1,1,0.0,0.0
561,Hana Takahashi,DF,JP,Japan,23,2000,3,0,0,0,0.0,0.0
562,Tamires,DF,BR,Brazil,35,1987,3,0,2,2,0.0,0.0
563,Mina Tanaka,FW,JP,Japan,29,1994,3,2,13,4,0.154,0.5
564,Riley Tanner,FW|MF,PA,Panama,23,1999,2.3,0,3,1,0.0,0.0
565,Martha Tembo,DF,ZM,Zambia,25,1998,3,0,1,0,0.0,0.0
566,Meriame Terchoun,FW|MF,CH,Switzerland,27,1995,0.6,0,3,2,0.0,0.0
567,Gaëlle Thalmann,GK,CH,Switzerland,37,1986,4,0,0,0,0.0,0.0
568,Trần Thị Kim Thanh,GK,VN,Vietnam,29,1993,2.5,0,0,0,0.0,0.0
569,Trần Thị Thu Thảo,DF,VN,Vietnam,30,1993,3,0,0,0,0.0,0.0
570,Kerly Théus,GK,HT,Haiti,24,1999,3,0,0,0,0.0,0.0
571,Khổng Thị Hằng,GK,VN,Vietnam,29,1993,0.5,0,0,0,0.0,0.0
572,Chương Thị Kiều,DF,VN,Vietnam,27,1995,1.2,0,0,0,0.0,0.0
573,Hoàng Thị Loan,DF,VN,Vietnam,28,1995,2.3,0,0,0,0.0,0.0
574,Thái Thị Thảo,MF,VN,Vietnam,28,1995,2,0,1,0,0.0,0.0
575,Trần Thị Thu,DF,VN,Vietnam,31,1991,3,0,1,0,0.0,0.0
576,Dương Thị Vân,MF,VN,Vietnam,28,1994,1.7,0,0,0,0.0,0.0
577,Alyssa Thompson,FW,US,USA,18,2004,0.2,0,0,0,0.0,0.0
578,Janni Thomsen,DF|FW,DK,Denmark,23,2000,3.9,0,2,0,0.0,0.0
579,Lương Thị Thu Thương,DF,VN,Vietnam,23,2000,1.8,0,0,0,0.0,0.0
580,Nguyễn Thị Bích Thùy,MF,VN,Vietnam,29,1994,2,0,4,2,0.0,0.0
581,Frederikke Thøgersen,FW,DK,Denmark,27,1995,0.2,0,0,0,0.0,0.0
582,Sandie Toletti,MF,FR,France,27,1995,3.4,0,4,1,0.0,0.0
583,Ella Toone,MF,EN,England,23,1999,4.9,1,4,2,0.25,0.5
584,Aïssatou Tounkara,DF,FR,France,28,1995,0,0,0,0,0.0,0.0
585,Sanne Troelsgaard Nielsen,MF,DK,Denmark,34,1988,0.3,1,1,1,1.0,1.0
586,Christy Ucheibe,MF,NG,Nigeria,22,2000,4.3,0,6,0,0.0,0.0
587,Riko Ueki,FW,JP,Japan,23,1999,2,2,10,5,0.2,0.4
588,Catalina Usme,FW|MF,CO,Colombia,33,1989,5,2,7,2,0.286,1.0
589,Emilie Valenciano,MF,CR,Costa Rica,26,1997,0.1,0,0,0,0.0,0.0
590,Kiki Van Zanten,MF,JM,Jamaica,21,2001,0.5,0,0,0,0.0,0.0
591,Manuela Vanegas,DF,CO,Colombia,22,2000,4,1,5,1,0.2,1.0
592,Amalie Vangsgaard,FW,DK,Denmark,26,1996,2.2,1,5,2,0.2,0.5
593,Rosario Vargas,DF,PA,Panama,20,2002,0.9,0,0,0,0.0,0.0
594,Katrine Veje,DF,DK,Denmark,31,1991,4,0,1,1,0.0,0.0
595,Evelyne Viens,FW,CA,Canada,26,1997,1.1,0,3,2,0.0,0.0
596,Fabiola Villalobos,DF,CR,Costa Rica,25,1998,3,0,4,1,0.0,0.0
597,Gloriana Villalobos,MF|FW,CR,Costa Rica,23,1999,2.1,0,2,1,0.0,0.0
598,Cortnee Vine,MF|DF,AU,Australia,25,1998,2.8,0,4,3,0.0,0.0
599,Ana Vitória,MF,BR,Brazil,23,2000,0.1,0,0,0,0.0,0.0
600,Keira Walsh,MF,EN,England,26,1997,5.7,0,2,0,0.0,0.0
601,Lia Wälti,MF,CH,Switzerland,30,1993,3.8,0,0,0,0.0,0.0
602,Solai Washington,MF|FW,JM,Jamaica,17,2005,0.4,0,1,0,0.0,0.0
603,Yao Wei,DF|MF,CN,China PR,25,1997,3,0,1,0,0.0,0.0
604,Hannah Wilkinson,FW,NZ,New Zealand,31,1992,2.8,1,8,2,0.125,0.5
605,Lynn Williams,FW,US,USA,30,1993,1.5,0,9,6,0.0,0.0
606,Lynn Wilms,DF|FW,NL,Netherlands,22,2000,0.7,0,0,0,0.0,0.0
607,Mary Wilombe,MF,ZM,Zambia,25,1997,0.8,0,0,0,0.0,0.0
608,Tiernny Wiltshire,DF,JM,Jamaica,25,1998,3,0,0,0,0.0,0.0
609,Zhang Xin,FW|MF,CN,China PR,31,1992,1.1,0,0,0,0.0,0.0
610,Tameka Yallop,MF,AU,Australia,31,1991,0.1,0,0,0,0.0,0.0
611,Ayaka Yamashita,GK,JP,Japan,27,1995,5,0,0,0,0.0,0.0
612,Gu Yasha,MF|FW,CN,China PR,32,1990,0.2,0,0,0,0.0,0.0
613,Yoon Young-geul,GK,KR,Korea Republic,35,1987,1,0,0,0,0.0,0.0
614,Lee Young-ju,MF,KR,Korea Republic,31,1992,1,0,0,0,0.0,0.0
615,Zhu Yu,GK,CN,China PR,25,1997,2,0,0,0,0.0,0.0
616,Choe Yu-ri,MF|FW,KR,Korea Republic,28,1994,2.4,0,3,1,0.0,0.0
617,Shelina Zadorsky,DF,CA,Canada,30,1992,0.5,0,0,0,0.0,0.0
618,Katie Zelem,MF,EN,England,27,1996,1,0,0,0,0.0,0.0
619,Claudia Zornoza,MF,ES,Spain,32,1990,0.4,0,0,0,0.0,0.0
